,WGS84경도,WGS84위도,관할관청,모바일정류장ID,시군명,위치,이비카드정류장ID,정류소명,정류소번호,정류소영문명,중앙차로여부,표준정류장ID
670,126.9382167,37.18935,경기도 화성시,36090.0,화성시,경기도 화성시 봉담읍,,왕림4리.세곡리,36090.0,Segok-ri ,노변정류장,233000829
671,126.9390833,37.1935667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 봉담읍,4117325.0,가톨릭대학교,36095.0,The Catholic University of Korea Main Gate,노변정류장,233000830
672,126.93975,37.19785,경기도 화성시,36103.0,화성시,경기도 화성시 봉담읍,,왕림리.상기리입구,36103.0,"Wangnim-ri, Sanggi-ri ",노변정류장,233000831
673,126.94275,37.20446670000001,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 봉담읍,4130159.0,왕림휴게소,36109.0,Wangnim Rest Area,노변정류장,233000832
674,126.9437,37.2141,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 봉담읍,4130157.0,장안대학,36111.0,Jangan University,노변정류장,233000833
675,126.95421670000002,37.2259167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 봉담읍,4117317.0,대진화학,36135.0,Daejin Chemical ,노변정류장,233000838
676,127.04995,37.2237667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 반월동,4170818.0,행림마을.삼성래미안,37466.0,"Haenglim Maeul, Samsung Raemian Apartment",노변정류장,233000840
677,126.81498329999998,37.20735,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,,4107805.0,남양성지,36015.0,Namyang seongji,노변정류장,233000841
678,126.91085,37.2494667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 매송면,4170961.0,어천,37566.0,Eocheon,노변정류장,233000844
679,126.7036333,37.1686,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 서신면,4102850.0,매화리,37040.0,Maehwa-ri,노변정류장,233000852
680,126.7646,37.2087167,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 마도면,4170952.0,구리섬앞,37562.0,Guriseom,노변정류장,233000857
