'||승차역ID1||',startCount,end_count,transfer_count
10741.0,2,6.0,
10762.0,18,2.0,
10770.0,3,1.0,
10781.0,2,20.0,
10784.0,18,1.0,
10798.0,12,2.0,
10799.0,1,,
10801.0,1,,
10815.0,1,,
10818.0,1,,
10822.0,1,1.0,
10829.0,2,1.0,
10831.0,1,1.0,
10835.0,4,,
10836.0,1,1.0,
10839.0,1,,
10843.0,1,12.0,
10861.0,1,,
10891.0,2,2.0,
10895.0,2,,
10896.0,1,,
10907.0,2,,
10933.0,5,,
10970.0,1,,
10979.0,3,7.0,
10985.0,4,8.0,
11008.0,3,1.0,
11012.0,1,,
11026.0,4,,
11029.0,1,2.0,
11035.0,1,,
11036.0,1,,
11043.0,1,,
11050.0,2,1.0,
11085.0,1,,
11090.0,3,,
11093.0,1,4.0,
11107.0,1,,
11121.0,3,,
11137.0,2,,
11174.0,3,,
11220.0,1,1.0,
11224.0,1,,
11236.0,1,,
11245.0,1,,
11282.0,4,,
11291.0,1,,
11293.0,1,,
11296.0,3,,
11314.0,2,,
11323.0,1,,
11341.0,1,,
11367.0,1,,
11370.0,3,,
11371.0,2,,
11374.0,1,,
11378.0,2,,
11381.0,1,,
11387.0,1,,
11396.0,1,2.0,
11410.0,1,,
11412.0,1,,
11418.0,1,,
11429.0,3,,
11433.0,1,,
11443.0,1,,
11449.0,1,,
11462.0,1,,
11466.0,3,7.0,
11490.0,3,1.0,
11491.0,1,,
11496.0,2,,
11503.0,1,,
11514.0,4,,
11521.0,1,,
11522.0,1,,
11525.0,2,,
11532.0,1,,
11547.0,1,5.0,
11552.0,1,,
11558.0,4,,
11564.0,2,,
11569.0,1,,
11596.0,1,,
11597.0,1,,
11603.0,2,,
11605.0,1,,
11690.0,2,,
11694.0,1,,
11704.0,1,,
11707.0,1,,
11716.0,5,,
11732.0,4,,8.0
11754.0,4,,
11762.0,2,,
11811.0,2,,
11837.0,10,,
11884.0,1,,
11888.0,1,,
11889.0,1,,
11893.0,1,1.0,
11907.0,3,1.0,
11929.0,2,,
11946.0,2,,
11956.0,7,1.0,
11958.0,3,,3.0
11963.0,3,1.0,
11988.0,1,,
11997.0,2,,
12012.0,1,2.0,
12022.0,1,,
12052.0,1,,
12080.0,2,1.0,
12122.0,1,,
12139.0,4,,
12152.0,1,,
12166.0,4,,
12167.0,2,,
12169.0,3,,
12176.0,1,,
12179.0,1,,
12186.0,2,,
12188.0,5,,
12201.0,3,,
12215.0,1,,
12218.0,2,,
12220.0,2,,
12232.0,6,,
12244.0,9,,
12263.0,1,,
12265.0,3,,
12270.0,2,,
12285.0,2,,
12295.0,5,,
12311.0,6,,
12320.0,1,,
12333.0,1,,
12342.0,1,,
12348.0,6,5.0,21.0
12356.0,5,4.0,
12361.0,4,,10.0
12366.0,1,,
12378.0,6,,2.0
12404.0,1,1.0,
